timestamp,file,error
2026-03-15T01:05:31.498465,book_post_Archive23_p265_C33_Pithawalla_painting_DAG000050737.jpg,HTTP 413: The image exceeded the size limit of 20000000 bytes. Try again by uploading a smaller image.
2026-03-15T01:05:53.987828,book_post_Archive2_p246_Buddhist_DeenDayal_Getty_2ad3cc3c-4f05-4c7a-b5d6-2824f0dc9646_6693.jpg,HTTP 413: The image exceeded the size limit of 20000000 bytes. Try again by uploading a smaller image.
2026-03-15T01:06:42.698731,book_post_Archive_Daniells_Plate0_Frontispiece.jpg,HTTP 413: The image exceeded the size limit of 20000000 bytes. Try again by uploading a smaller image.
2026-03-15T01:07:09.745189,book_post_Archive_Daniells_Plate1-2_The_Mountain_of_Ellora_1st-2nd_View.jpg,HTTP 413: Request entity is too large
2026-03-15T01:07:25.944742,book_post_Archive_Daniells_Plate10_Junwassa.jpg,HTTP 413: The image exceeded the size limit of 20000000 bytes. Try again by uploading a smaller image.
2026-03-15T01:07:38.969216,book_post_Archive_Daniells_Plate11_Rameswara.jpg,HTTP 413: The image exceeded the size limit of 20000000 bytes. Try again by uploading a smaller image.
2026-03-15T01:07:52.606167,book_post_Archive_Daniells_Plate12_The_Entrance_to_Kailasa.jpg,HTTP 413: The image exceeded the size limit of 20000000 bytes. Try again by uploading a smaller image.
2026-03-15T01:08:05.785667,book_post_Archive_Daniells_Plate13_S.W._View_of_Kailasa.jpg,HTTP 413: The image exceeded the size limit of 20000000 bytes. Try again by uploading a smaller image.
2026-03-15T01:08:21.219970,book_post_Archive_Daniells_Plate14_N.E._View_of_Kailasa.jpg,HTTP 413: The image exceeded the size limit of 20000000 bytes. Try again by uploading a smaller image.
2026-03-15T01:08:48.389150,book_post_Archive_Daniells_Plate15-16_The_Upper_Part_of_Kailasa.jpg,HTTP 413: The image exceeded the size limit of 20000000 bytes. Try again by uploading a smaller image.
2026-03-15T01:09:03.692468,book_post_Archive_Daniells_Plate17_Das_Avatara.jpg,HTTP 413: The image exceeded the size limit of 20000000 bytes. Try again by uploading a smaller image.
2026-03-15T01:09:16.547600,book_post_Archive_Daniells_Plate18_The_Ashes_of_Ravana.jpg,HTTP 413: The image exceeded the size limit of 20000000 bytes. Try again by uploading a smaller image.
2026-03-15T01:09:30.722650,book_post_Archive_Daniells_Plate19_The_Ashes_of_Ravana_Interior_View.jpg,HTTP 413: The image exceeded the size limit of 20000000 bytes. Try again by uploading a smaller image.
2026-03-15T01:09:43.972278,book_post_Archive_Daniells_Plate20_Tin-Tali.jpg,HTTP 413: The image exceeded the size limit of 20000000 bytes. Try again by uploading a smaller image.
2026-03-15T01:09:58.788607,book_post_Archive_Daniells_Plate21_Do-Tali.jpg,HTTP 413: The image exceeded the size limit of 20000000 bytes. Try again by uploading a smaller image.
2026-03-15T01:10:11.896124,book_post_Archive_Daniells_Plate22_Viswakarma_Exterior_View.jpg,HTTP 413: The image exceeded the size limit of 20000000 bytes. Try again by uploading a smaller image.
2026-03-15T01:10:37.774584,book_post_Archive_Daniells_Plate24_Dehr_Warra.jpg,HTTP 413: The image exceeded the size limit of 20000000 bytes. Try again by uploading a smaller image.
2026-03-15T01:10:48.343878,book_post_Archive_Daniells_Plate3_The_Mountain_of_Ellora_3rd_View.jpg,HTTP 413: The image exceeded the size limit of 20000000 bytes. Try again by uploading a smaller image.
2026-03-15T01:11:08.872042,book_post_Archive_Daniells_Plate5_Paraswa_Rama_Sabha.jpg,HTTP 413: The image exceeded the size limit of 20000000 bytes. Try again by uploading a smaller image.
2026-03-15T01:11:21.577053,book_post_Archive_Daniells_Plate6_The_Entrance_of_Indra_Sabha.jpg,HTTP 413: The image exceeded the size limit of 20000000 bytes. Try again by uploading a smaller image.
2026-03-15T01:11:37.222177,book_post_Archive_Daniells_Plate8_Indra_Sabha.jpg,HTTP 413: The image exceeded the size limit of 20000000 bytes. Try again by uploading a smaller image.
2026-03-15T01:11:52.123440,book_post_Archive_Daniells_Plate9_Doomar_Leyna.jpg,HTTP 413: The image exceeded the size limit of 20000000 bytes. Try again by uploading a smaller image.
